,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,p18_49,191,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,m18_49,0.22,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,m18_49,113,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,w18_49,0.15,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,w18_49,77,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,p2_17,0.07,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,p2_17,36,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,p55,0.52,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,p55,388,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,p2,0.27,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,p2,667,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,p18_34,0.12,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,p18_34,63,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,p35_54,0.27,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,p35_54,180,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,p25_54,0.74,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,p25_54,722,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,m25_54,0.79,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,m25_54,377,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,w25_54,0.7,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,w25_54,346,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,p18_49,0.62,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,p18_49,635,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,m18_49,0.67,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,m18_49,341,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,w18_49,0.57,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,w18_49,294,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,p2_17,0.29,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,p2_17,149,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,p55,0.67,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,p55,495,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,p2,0.58,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,p2,1432,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,p18_34,0.47,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,p18_34,248,180
,DISC,2015-6-14,08:00P -11:00P ,,aa,l3d,p35_54,0.81,180
,DISC,2015-6-14,08:00P -11:00P ,,imp,l3d,p35_54,540,180
